stt,file_path,duration
174,D:\Video\304C.mp4,3:37
172,D:\Video\302C.mp4,5:03
173,D:\Video\303C.mp4,4:09
171,D:\Video\301C.mp4,4:50
175,D:\Video\306D.mp4,5:26
177,D:\Video\308D.mp4,6:16
180,D:\Video\311C.mp4,3:44
178,D:\Video\309D.mp4,5:37
181,D:\Video\312C.mp4,3:32
179,D:\Video\310C.mp4,4:55
182,D:\Video\313C.mp4,4:17
176,D:\Video\307A mini thu am.mp4,6:03
184,D:\Video\315C.mp4,4:04
183,D:\Video\314A mini ghep.mp4,6:13
185,D:\Video\316C.mp4,4:12
188,D:\Video\321A mini thu am.mp4,6:29
190,D:\Video\323A mini ghep.mp4,6:27
186,D:\Video\317A mini ghep.mp4,5:10
192,D:\Video\325A mini GHEP.mp4,4:40
191,D:\Video\324D.mp4,4:03
189,D:\Video\322A mini.mp4,8:05
194,D:\Video\327C.mp4,4:29
187,D:\Video\319A.mp4,3:35
193,D:\Video\326A mini thu am.mp4,4:44
196,D:\Video\329C.mp4,3:39
197,D:\Video\330C.mp4,4:41
198,D:\Video\331D.mp4,4:19
195,D:\Video\328D.mp4,5:07
199,D:\Video\332C.mp4,4:57
200,D:\Video\333A mini thu am.mp4,5:21
201,D:\Video\334C.mp4,5:43
202,D:\Video\335C.mp4,4:55
205,D:\Video\338C.mp4,4:31
204,D:\Video\337C thu âm.mp4,4:48
203,D:\Video\336A mini thu am.mp4,5:19
210,D:\Video\343C.mp4,5:17
207,D:\Video\340A mini thu am.mp4,4:12
211,D:\Video\344C thu âm.mp4,4:56
209,D:\Video\342C thu âm.mp4,5:13
206,D:\Video\339A mini1 thu am.mp4,4:03
212,D:\Video\345C thu âm.mp4,5:06
216,D:\Video\349C.mp4,4:24
213,D:\Video\346C thu âm.mp4,4:30
208,D:\Video\341A mini thu am.mp4,5:06
214,D:\Video\347D.mp4,4:51
220,D:\Video\353C thu âm.mp4,5:20
215,D:\Video\348A mini thu am.mp4,7:00
217,D:\Video\350D (2).mp4,3:37
219,D:\Video\352C thu âm.mp4,3:18
222,D:\Video\355D (2).mp4,5:20
218,D:\Video\351A mini thu am.mp4,5:38
225,D:\Video\358C.mp4,4:31
221,D:\Video\354A mini thu am.mp4,5:52
224,D:\Video\357C.mp4,4:12
223,D:\Video\356A mini1.mp4,5:39
227,D:\Video\360A mini1.mp4,4:28
228,D:\Video\361C.mp4,4:48
226,D:\Video\359A mini1.mp4,4:31
229,D:\Video\362.mp4,3:41
233,D:\Video\366C (2).mp4,5:25
234,D:\Video\367C.mp4,6:36
230,D:\Video\363A mini1 thu am.mp4,5:46
235,D:\Video\368D.mp4,4:25
231,D:\Video\364A mini1.mp4,5:47
232,D:\Video\365A mini1.mp4,4:56
236,D:\Video\369D.mp4,4:48
239,D:\Video\372GD.mp4,4:13
237,D:\Video\370A mini1.mp4,3:56
240,D:\Video\373C.mp4,5:53
242,D:\Video\375C.mp4,6:14
243,D:\Video\376C.mp4,4:06
238,D:\Video\371A mini1.mp4,4:17
246,D:\Video\379C.mp4,4:05
248,D:\Video\381C.mp4,3:57
241,D:\Video\374A mini1.mp4,5:13
244,D:\Video\377A mini.mp4,4:14
249,D:\Video\383C.mp4,3:43
250,D:\Video\384D.mp4,5:57
245,D:\Video\378A mini1.mp4,4:44
247,D:\Video\380A mini1.mp4,5:14
254,D:\Video\388C.mp4,5:47
255,D:\Video\390C.mp4,4:38
253,D:\Video\387C.mp4,3:42
252,D:\Video\386C.mp4,5:56
256,D:\Video\391C.mp4,4:54
251,D:\Video\385A mini1.mp4,4:51
261,D:\Video\397FD.mp4,4:54
262,D:\Video\398C.mp4,3:46
257,D:\Video\392A mini1.mp4,6:58
264,D:\Video\400C.mp4,4:32
259,D:\Video\395A mini1.mp4,5:47
258,D:\Video\394A mini1.mp4,5:13
260,D:\Video\396A mini1.mp4,5:28
263,D:\Video\399A mini1.mp4,5:32
265,D:\Video\401C.mp4,3:49
268,D:\Video\405.mp4,5:31
270,D:\Video\407GA mini1.mp4,4:40
271,D:\Video\408GD.mp4,5:01
266,D:\Video\402A mini1.mp4,4:39
272,D:\Video\413C (HV Sỹ).mp4,5:15
269,D:\Video\406A mini1.mp4,3:58
274,D:\Video\415 mini1.mp4,4:18
276,D:\Video\418C.mp4,4:17
273,D:\Video\414A mini1.mp4,4:47
275,D:\Video\417A mini1.mp4,4:43
278,D:\Video\420A mini1.mp4,3:55
277,D:\Video\419A mini1.mp4,4:30
280,D:\Video\422A mini1.mp4,4:35
283,D:\Video\426C (HVSĩ).mp4,4:09
279,D:\Video\421A.mp4,6:26
281,D:\Video\423A mini1.mp4,4:10
284,D:\Video\427A mini1.mp4,4:57
282,D:\Video\424A mini1.mp4,4:12
285,D:\Video\428.mp4,6:25
286,D:\Video\429.mp4,6:36
292,D:\Video\439.mp4,5:19
288,D:\Video\432A mini1.mp4,5:09
287,D:\Video\430A mini1.mp4,4:02
290,D:\Video\436.mp4,6:58
289,D:\Video\433A mini1.mp4,4:08
293,D:\Video\440.mp4,4:55
291,D:\Video\437A mini1.mp4,3:35
294,D:\Video\441A mini1.mp4,4:43
296,D:\Video\443 sửa.mp4,5:14
299,D:\Video\447FA mini1.mp4,5:19
295,D:\Video\442A mini1.mp4,3:59
298,D:\Video\446A mini1.mp4,6:48
297,D:\Video\445A mini.mp4,4:25
300,D:\Video\448.mp4,6:07
302,D:\Video\450A mini1.mp4,5:37
303,D:\Video\451.mp4,5:50
301,D:\Video\449A mini1.mp4,5:02
304,D:\Video\452HA mini1.mp4,5:03
307,D:\Video\456.mp4,8:35
308,D:\Video\457FD.mp4,6:44
305,D:\Video\454FA mini1.mp4,4:35
306,D:\Video\455A mini1.mp4,4:47
312,D:\Video\462HD_3.mp4,6:58
314,D:\Video\464FA mini1.mp4,5:21
315,D:\Video\466FD.mp4,7:15
316,D:\Video\467FD.mp4,6:59
310,D:\Video\459GA mini1.mp4,3:48
313,D:\Video\463FA mini1.mp4,5:36
309,D:\Video\458HA mini1.mp4,4:46
311,D:\Video\461GA mini1.mp4,4:19
321,D:\Video\473HD.mp4,6:19
319,D:\Video\471.mp4,5:15
322,D:\Video\474FD.mp4,3:59
323,D:\Video\475FD_1.mp4,4:18
324,D:\Video\476FD.mp4,5:42
318,D:\Video\469HA mini1_2.mp4,5:56
317,D:\Video\468HA mini1.mp4,5:46
326,D:\Video\481HD.mp4,4:36
327,D:\Video\482HD.mp4,3:29
328,D:\Video\483HD.mp4,3:09
330,D:\Video\485HD.mp4,3:04
320,D:\Video\472HA mini1.mp4,4:36
331,D:\Video\486HD sửa.mp4,4:37
329,D:\Video\484HD_1.mp4,4:41
325,D:\Video\479DA mini1.mp4,4:43
332,D:\Video\487HD.mp4,3:54
333,D:\Video\488HD.mp4,3:39
335,D:\Video\490HD.mp4,3:05
334,D:\Video\489HD.mp4,4:04
336,D:\Video\491HD.mp4,3:54
337,D:\Video\493HD.mp4,4:15
338,D:\Video\495HD.mp4,3:36
339,D:\Video\496HD.mp4,4:07
340,D:\Video\497HD.mp4,4:07
342,D:\Video\499GD.mp4,4:06
344,D:\Video\501GB.mp4,3:33
343,D:\Video\500GD.mp4,4:48
346,D:\Video\503HD.mp4,4:08
341,D:\Video\498HB_1.mp4,4:25
348,D:\Video\506HD.mp4,4:53
350,D:\Video\508HD.mp4,4:05
