stt,file_path,duration
147,F:\Thomas\E319.H - play - Duyệt.mp4,6:10
148,F:\Thomas\E320.H - play.mp4,6:30
149,F:\Thomas\E321.H - play.mp4,6:35
151,F:\Thomas\E323.mp4,6:42
152,F:\Thomas\E324.mp4,6:56
153,F:\Thomas\E325.H - play.mp4,5:58
154,F:\Thomas\E326.H - play.mp4,6:44
155,F:\Thomas\E327.H - play.mp4,7:59
157,F:\Thomas\E329N.H - play.mp4,6:07
158,F:\Thomas\E330.H - play.mp4,6:03
156,F:\Thomas\E328.H - play.mp4,6:10
162,F:\Thomas\E334.H - play (sửa).mp4,6:20
160,F:\Thomas\E332.H - play.mp4,6:04
159,F:\Thomas\E331.H - play (Sửa).mp4,6:00
161,F:\Thomas\E333.H - play.mp4,6:14
163,F:\Thomas\E335.H - play (sửa).mp4,6:57
165,F:\Thomas\E337.H - play.mp4,6:32
164,F:\Thomas\E336.H - play.mp4,7:06
166,F:\Thomas\E338.H - play.mp4,6:00
168,F:\Thomas\E342.H - play (sửa).mp4,6:03
167,F:\Thomas\E339.H - play.mp4,6:02
169,F:\Thomas\E343.H - play.mp4,6:09
170,F:\Thomas\E344.H - play.mp4,6:48
171,F:\Thomas\E345.H - play.mp4,7:13
172,F:\Thomas\E346.H - play.mp4,6:16
173,F:\Thomas\E347.mp4,5:59
174,F:\Thomas\E348.H - play.mp4,7:14
177,F:\Thomas\E355.H - play.mp4,7:40
176,F:\Thomas\E354.H - play_1.mp4,6:50
178,F:\Thomas\E356.H - play (sửa).mp4,6:51
175,F:\Thomas\E349.H - play.mp4,6:02
179,F:\Thomas\E357.H - play.mp4,6:34
181,F:\Thomas\E359.H - play.mp4,6:16
182,F:\Thomas\E360.H - play.mp4,7:27
180,F:\Thomas\E358.H - play (sửa).mp4,6:45
183,F:\Thomas\E361.H - play (sửa).mp4,8:07
185,F:\Thomas\E363.H - play (sửa).mp4,6:04
187,F:\Thomas\E365.H - play.mp4,6:34
184,F:\Thomas\E362.H - play.mp4,5:59
186,F:\Thomas\E364.H - play (sửa).mp4,6:48
189,F:\Thomas\E367H - play.mp4,6:16
190,F:\Thomas\E368.H - play.mp4,6:01
188,F:\Thomas\E366.H - play.mp4,6:29
191,F:\Thomas\E369.H - play.mp4,6:10
193,F:\Thomas\E371.H - play (sửa).mp4,6:34
192,F:\Thomas\E370.H - play.mp4,6:02
194,F:\Thomas\E372.H - play.mp4,7:37
195,F:\Thomas\E373.H - play.mp4,6:15
199,F:\Thomas\E377.H - play.mp4,7:28
197,F:\Thomas\E375.H - play.mp4,6:27
196,F:\Thomas\E374.H - play.mp4,7:48
198,F:\Thomas\E376.H - play.mp4,6:10
200,F:\Thomas\E378.H (sua).mp4,7:15
202,F:\Thomas\E380.H (sua).mp4,6:14
201,F:\Thomas\E379.H - play.mp4,6:51
203,F:\Thomas\E381.H (sua).mp4,7:18
204,F:\Thomas\E382.H (sua).mp4,6:08
205,F:\Thomas\E383.H (sua).mp4,6:00
206,F:\Thomas\E384.H (sua).mp4,6:01
207,F:\Thomas\E385H - play.mp4,6:08
209,F:\Thomas\E387.H - play.mp4,5:56
208,F:\Thomas\E386.H - PLAY.mp4,6:22
210,F:\Thomas\E388.H (sua).mp4,6:02
213,F:\Thomas\E391.H - play.mp4,6:14
211,F:\Thomas\E389.H - play.mp4,7:01
212,F:\Thomas\E390.H - play.mp4,6:12
214,F:\Thomas\E392.H - play.mp4,6:28
216,F:\Thomas\E394.H -play.mp4,6:28
219,F:\Thomas\E397.H.mp4,7:42
215,F:\Thomas\E393.H - play.mp4,6:00
217,F:\Thomas\E395.H.mp4,6:32
218,F:\Thomas\E396.H.mp4,6:59
221,F:\Thomas\E399.H.mp4,7:19
222,F:\Thomas\E400.mp4,7:10
220,F:\Thomas\E398.H.mp4,6:14
223,F:\Thomas\E401.H.mp4,6:43
224,F:\Thomas\E402.H.mp4,7:16
226,F:\Thomas\E404.H.mp4,6:01
225,F:\Thomas\E403.H.mp4,6:25
227,F:\Thomas\E405.H.mp4,6:54
229,F:\Thomas\E407.H.mp4,6:22
228,F:\Thomas\E406.H.mp4,6:16
231,F:\Thomas\E47.mp4,10:06
230,F:\Thomas\E46.mp4,9:30
232,F:\Thomas\E68 sửa.mp4,7:33
235,F:\Thomas\E70.mp4,5:35
234,F:\Thomas\E69.mp4,6:42
233,F:\Thomas\E69 sửa.mp4,6:22
236,F:\Thomas\E71.mp4,7:13
237,F:\Thomas\k1-33-v66 - duyệt.mp4,6:32
238,F:\Thomas\k1-34-v77 - duyệt.mp4,6:47
239,F:\Thomas\k1-35-v78 - duyệt.mp4,10:08
240,F:\Thomas\K1-36-v81 - duyệt.mp4,7:41
245,F:\Thomas\K1-43-v91 - duyệt.mp4,5:59
241,F:\Thomas\K1-37-v80 - duyệt.mp4,8:44
243,F:\Thomas\K1-40-v88 - duyệt.mp4,9:45
242,F:\Thomas\k1-38-v82 - duyệt.mp4,8:07
