stt,file_path,duration
128,E:\Number B\Video\145BGA.mp4,3:11
127,E:\Rainbow Number\Video\144FC.mp4,6:40
129,E:\Number A\Video\145BGC.mp4,6:01
126,E:\Number B\Video\144BHC.mp4,5:16
130,E:\Rainbow Number\Video\145FC.mp4,5:47
132,E:\Number A\Video\146BGC.mp4,6:33
131,E:\Number B\Video\146BGA.mp4,4:48
133,E:\Rainbow Number\Video\146FC.mp4,4:54
135,E:\Number A\Video\147BGC.mp4,5:17
134,E:\Number B\Video\147BGA.mp4,4:01
136,E:\Rainbow Number\Video\147GC.mp4,4:39
137,E:\Number B\Video\148BGA.mp4,4:48
138,E:\Number A\Video\148BGC.mp4,5:29
139,E:\Number B\Video\149BGA.mp4,4:00
140,E:\Number A\Video\149BGC.mp4,5:11
143,E:\Number B\Video\150BGA.mp4,4:14
142,E:\Number TC\Video\14AE.mp4,5:22
145,E:\Number B\Video\151BGA.mp4,4:14
144,E:\Number A\Video\150BGC.mp4,6:05
146,E:\Number A\Video\151BGC.mp4,5:28
141,E:\Number TC\Video\14AE (2).mp4,7:07
147,E:\Number B\Video\152BGA.mp4,3:41
148,E:\Number A\Video\152BGC.mp4,5:16
149,E:\Number A\Video\153BGC.mp4,6:38
151,E:\Number B\Video\154BGC.mp4,3:39
150,E:\Number B\Video\153BGC.mp4,3:59
152,E:\Number A\Video\154BHC.mp4,4:56
153,E:\Number B\Video\155BGC.mp4,5:40
154,E:\Number A\Video\155BHC.mp4,5:20
155,E:\Number B\Video\156BGA.mp4,4:49
159,E:\Number B\Video\158BGA.mp4,3:28
157,E:\Number B\Video\157BGA.mp4,3:43
156,E:\Number A\Video\156BHC.mp4,7:26
158,E:\Number A\Video\157BHC.mp4,6:53
160,E:\Number A\Video\158BHC.mp4,5:16
161,E:\Number B\Video\159BC.mp4,4:10
163,E:\Number B\Video\160BA.mp4,4:07
162,E:\Number A\Video\159BHC.mp4,5:32
165,E:\Number B\Video\161BA.mp4,4:03
166,E:\Number A\Video\161BHA.mp4,5:39
164,E:\Number A\Video\160BHC-.mp4,6:47
167,E:\Number B\Video\162BA.mp4,4:36
169,E:\Number B\Video\163BC.mp4,4:41
168,E:\Number A\Video\162BHC.mp4,4:43
170,E:\Number A\Video\163BHC.mp4,4:28
171,E:\Number B\Video\164BA.mp4,4:49
172,E:\Number A\Video\164BHC.mp4,6:04
173,E:\Number B\Video\165BA.mp4,4:46
174,E:\Number A\Video\165BHC.mp4,5:27
177,E:\Number B\Video\167BC.mp4,4:25
176,E:\Number A\Video\166BHA.mp4,6:24
175,E:\Number B\Video\166BA.mp4,4:07
178,E:\Number A\Video\167BHD.mp4,6:46
179,E:\Rainbow Number\Video\167FC.mp4,7:33
180,E:\Number B\Video\168BC.mp4,4:14
181,E:\Number A\Video\168BHA.mp4,5:03
184,E:\Number TC\Video\16AG.mp4,6:42
182,E:\Rainbow Number\Video\168FC.mp4,6:56
183,E:\Number A\Video\169BGC.mp4,4:50
185,E:\Number B\Video\170BA.mp4,4:05
187,E:\Number A\Video\170BGB_1.mp4,5:14
186,E:\Number A\Video\170BGB.mp4,5:14
188,E:\Number B\Video\171BFC.mp4,5:04
189,E:\Number A\Video\171BGC.mp4,4:57
190,E:\Number B\Video\172BFC.mp4,3:55
192,E:\Number B\Video\173BFC.mp4,4:04
191,E:\Number A\Video\172BGC.mp4,5:01
193,E:\Number A\Video\173BGC.mp4,5:54
195,E:\Number A\Video\175BGC.mp4,4:29
194,E:\Number A\Video\174BGC.mp4,6:04
196,E:\Number A\Video\176BGC.mp4,4:53
197,E:\Number A\Video\177BGC.mp4,5:18
198,E:\Number A\Video\178BGD.mp4,4:54
199,E:\Number A\Video\179BGC.mp4,4:21
201,E:\Number A\Video\181BGC.mp4,6:01
203,E:\Number A\Video\183BGC.mp4,5:34
202,E:\Number A\Video\182BGC.mp4,6:22
200,E:\Number A\Video\180BGC.mp4,4:46
205,E:\Number A\Video\185BGA.mp4,5:14
204,E:\Number A\Video\184BGC.mp4,5:10
206,E:\Number A\Video\186BGA.mp4,5:00
207,E:\Number A\Video\187BGA.mp4,4:44
210,E:\Number A\Video\189BGA.mp4,3:50
208,E:\Number A\Video\188BGA.mp4,5:30
209,E:\Rainbow Number\Video\188FC.mp4,7:22
211,E:\Number SLime\Video\18BFA.mp4,6:21
213,E:\Number A\Video\191BGB.mp4,3:57
212,E:\Number A\Video\190BGA.mp4,5:07
214,E:\Number A\Video\192BGB.mp4,4:39
215,E:\Number A\Video\193BFB.mp4,5:59
216,E:\Number A\Video\194BFB.mp4,4:50
217,E:\Number A\Video\195BFC.mp4,4:55
218,E:\Number A\Video\196BFC.mp4,5:03
219,E:\Number A\Video\197BFC.mp4,4:18
220,E:\Number A\Video\198BFC.mp4,5:48
221,E:\Number A\Video\199BGB.mp4,5:58
222,E:\Number TC\Video\1AE.mp4,8:01
225,E:\Number A\Video\202BGA.mp4,5:22
223,E:\Number A\Video\200FB.mp4,8:55
226,E:\Number A\Video\203BGA.mp4,4:24
224,E:\Number A\Video\201FD.mp4,7:29
227,E:\Number A\Video\204BGA.mp4,4:14
228,E:\Number A\Video\205BGA.mp4,5:22
230,E:\Number A\Video\207BGA.mp4,5:04
229,E:\Number A\Video\206BGA.mp4,5:01
