path,error,duration,bit_rate,frame_rate,resolution,format,format_profile,codec,scan_type,bit_depth,chroma_subsampling,aspect_ratio,video_size_MB,audio_codec,audio_bitrate,audio_sampling_rate,channels
I:\SEO 2\SEO - TRACTOR 2\ĐÃ UP\F242C\V242.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Rainbow Number\147GC\147GC.mp4,,4 min 39 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,534 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\B\Đã up\77BHC\77BHC.mp4,,5 min 56 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,682 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Rainbow Number\126FD\V126FD.mp4,,4 min 1 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,463 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 2\ĐÃ UP\V12\12 chuẩn.mp4,File không tồn tại,,,,,,,,,,,,,,,,
E:\HP Mini (Tractor 1)\ĐÃ UP\H443\H443 sửa.mp4,,5 min 14 s,50.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,1.83 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 1\ĐÃ UP\V211 - Phụ\211 Phụ.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number B 2.0\334HBC\334HBC-Hiếu.mp4,,4 min 14 s,17.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,519 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number B 2.0\316KLG\316KLG.mp4,,4 min 56 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,568 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 1\ĐÃ UP\V276\C276C.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\B\Đã up\200BHA\200BHA.mp4,,3 min 24 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,392 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 2\ĐÃ UP\v172\B172.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Rainbow Number\190FC\190FC.mp4,,5 min 41 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,654 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\A\ĐÃ UP\207BGA\207BGA.mp4,,5 min 4 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,582 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\A\ĐÃ UP\174BGC\174BGC.mp4,,6 min 4 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,698 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 1\ĐÃ UP\V169\V169.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\Number Slime\ĐÃ UP\79FGC\79FGC.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\Number Slime\ĐÃ UP\125FLA\125FLA.mp4,File không tồn tại,,,,,,,,,,,,,,,,
I:\SEO 2\SEO - TRACTOR 2\ĐÃ UP\V82\V82.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number Slime 2.0\343HCC\343HCC-Hiếu.mp4,,5 min 41 s,17.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,693 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Rainbow Number\148GD\148GD.mp4,,4 min 57 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,569 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 1\ĐÃ UP\V279\F279C.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number Slime 2.0\369GLB\369GLB.mp4,,6 min 12 s,15.3 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,681 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number B 2.0\319HCE\319HCE sua lai.mp4,,5 min 15 s,16.2 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,608 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Rainbow Number\308HE\308HE - 323A sua lai.mp4,,3 min 47 s,21.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,570 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\Number Slime\ĐÃ UP\287KLB\287KLB.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\A\ĐÃ UP\110BFC\110BFC.mp4,,6 min 30 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,748 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\B\Đã up\20DA\20DA RN.mp4,,7 min 17 s,90.3 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,4.60 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\Number Slime\ĐÃ UP\208BKB\208BKB.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\B\Đã up\55BFB\55BFB.mp4,,6 min 41 s,16.1 Mb/s,29.97,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,769 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 1\ĐÃ UP\V46\V46.mp4,File không tồn tại,,,,,,,,,,,,,,,,
I:\SEO 2\SEO - TRACTOR 1\ĐÃ UP\V198\V198.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\B\Đã up\222BGC\222BGC.mp4,,3 min 42 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,426 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\B\Đã up\128FC\128FC.mp4,,8 min 19 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,955 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\622HC\622HC.mp4,,4 min 7 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,474 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 1\ĐÃ UP\V301\F301C thu âm.mp4,File không tồn tại,,,,,,,,,,,,,,,,
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\661KB\661KB.mp4,,7 min 7 s,16.3 Mb/s,59.94,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,829 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 2\ĐÃ UP\ĐÃ DÙNG - Kênh Tractor TV\ĐÃ DÙNG\V159\V159.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Rainbow Number\154FC\154FC.mp4,,9 min 26 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,1.06 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\ĐÃ UP\H443\H443 sửa.mp4,,5 min 14 s,50.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,1.83 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Rainbow Number\321KB\321KB.mp4,,4 min 23 s,16.1 Mb/s,59.94,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,507 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\A\ĐÃ UP\104BFC\104BFC.mp4,,6 min 10 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,709 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\B\Đã up\227BGA\227BGA.mp4,,3 min 13 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,371 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Rainbow Number\205HC\205HC.mp4,,6 min 3 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,695 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Rainbow Number\230HD\230HD.mp4,,4 min 22 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,502 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 2\ĐÃ UP\ĐÃ DÙNG - Kênh Tractor TV\ĐÃ DÙNG\V209 - Phụ k1\V209.mp4,File không tồn tại,,,,,,,,,,,,,,,,
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\728AKD\728AKD Thoại .mp4,,4 min 49 s,17.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,589 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\633KD\633KD.mp4,,6 min 34 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,755 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\ĐÃ UP\B383C\B383C.mp4,,3 min 43 s,52.7 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,1.37 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\552FA\552FA.mp4,,3 min 57 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,455 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\626KD\626KD.mp4,,4 min 25 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,508 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number B 2.0\344KCE\344KCE.mp4,,5 min 6 s,16.3 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,595 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\621HB\621HB.mp4,,5 min 31 s,16.4 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,649 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\591KC\591KC.mp4,,5 min 10 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,590 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\Number Slime\ĐÃ UP\151LA\151LA.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\B\Đã up\155BGC\155BGC.mp4,,5 min 40 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,651 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\Number Slime\ĐÃ UP\220BGD\220BGD.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\B\Đã up\81BHA\81BHA.mp4,,5 min 53 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,676 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\ĐÃ UP\465FA\465FA mini1.mp4,,6 min 35 s,90.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,4.14 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number A 2.0\432KLC\432KLC-Hiếu.mp4,,6 min 57 s,17.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,852 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\Number Slime\ĐÃ UP\231BGC\231BGC.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Rainbow Number\292GE\292GE - 336A.mp4,,4 min 15 s,21.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,639 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\ĐÃ UP\V367C\F367C.mp4,,6 min 36 s,51.8 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,2.40 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\Number Slime\ĐÃ UP\97FC\97FC.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\Number Slime\ĐÃ UP\46FGA\46FGA.mp4,File không tồn tại,,,,,,,,,,,,,,,,
E:\HP Mini (Tractor 1)\ĐÃ UP\E402A\E402A mini1.mp4,,4 min 39 s,90.3 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,2.94 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\ĐÃ UP\V398\F398C.mp4,,3 min 46 s,52.4 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,1.38 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 1\ĐÃ UP\V8\V8.MP4,File không tồn tại,,,,,,,,,,,,,,,,
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\486HD\V486HD sửa.mp4,,4 min 37 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,528 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\ĐÃ UP\V453\453HA.mp4,,5 min 14 s,90.3 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,3.30 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number A 2.0\392BKE\392BKE.mp4,,4 min 40 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,538 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 2\ĐÃ UP\V24\24 chuẩn.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\B\Đã up\182BHD\V182BHD.mp4,,4 min 8 s,15.3 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,454 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\ĐÃ UP\V365\C365A mini1.mp4,,4 min 56 s,89.3 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,3.08 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number Slime 2.0\344HBB\344HBB.mp4,,4 min 47 s,15.3 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,525 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 1\ĐÃ UP\V79\V79.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\B\Đã up\188BGD\188BGD.mp4,,3 min 9 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,362 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 2\ĐÃ UP\V72\72.mp4,File không tồn tại,,,,,,,,,,,,,,,,
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\698H\698H.mp4,,4 min 54 s,15.9 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,559 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Rainbow Number\190FC\190FC.mp4,,5 min 41 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,654 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number B 2.0\366HD\366HLD.mp4,,5 min 34 s,17.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,682 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 2\ĐÃ UP\V116\B116A mini2.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\B\Đã up\89BHA\89BHA.mp4,,5 min 10 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,595 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\A\ĐÃ UP\96BC\96BC.mp4,,5 min 33 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,638 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number Slime 2.0\311HCE\311HCE.mp4,,5 min 7 s,16.2 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,594 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\Number Slime\ĐÃ UP\178BGA\178BGA.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\A\ĐÃ UP\165BHC\165BHC.mp4,,5 min 27 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,627 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\588KC\588KC-1.mp4,,5 min 21 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,614 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\759EHB\759EHB.mp4,,3 min 57 s,15.3 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,434 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\Tuần mới\ĐÃ UP\577HA\577HA.mp4,,4 min 49 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,554 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Rainbow Number\344GE\344GE - 390A.mp4,,5 min 2 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,579 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\B\Đã up\209BGC\209BGC.mp4,,3 min 48 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,438 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
I:\SEO 2\SEO - TRACTOR 1\ĐÃ UP\V167\V167.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number Slime 2.0\339HCE\339HCE.mp4,,6 min 18 s,16.3 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,734 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\A\ĐÃ UP\149BGC\149BGC.mp4,,5 min 11 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,596 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\Number Slime\ĐÃ UP\103FLC\103FLC.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number A 2.0\419GCE\419GCE sua lai.mp4,,5 min 37 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,647 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\ĐÃ UP\V356A\F356A mini1.mp4,,5 min 39 s,90.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,3.56 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
E:\HP Mini (Tractor 1)\ĐÃ UP\V396A\D396A mini1.mp4,,5 min 28 s,90.3 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,3.46 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\Number Slime\ĐÃ UP\150LA\150LA.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\A\ĐÃ UP\124BC\124BC.mp4,,7 min 32 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,865 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\B\Đã up\113BGA\113BGA.mp4,,5 min 44 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,659 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Rainbow Number\374KD\374KD.mp4,,5 min 56 s,17.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,727 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\A\ĐÃ UP\305BHA\305BHA.mp4,,3 min 34 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,410 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number A 2.0\430KLC\430KLC-Hiếu.mp4,,6 min 22 s,17.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,778 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\Number Slime\ĐÃ UP\203BKC\203BKC.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\Number Slime\ĐÃ UP\158LB\158LB.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\B\Đã up\95BGA\95BGA.mp4,,5 min 32 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,637 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\B\Đã up\166BA\166BA.mp4,,4 min 7 s,15.3 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,452 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\B\Đã up\101BGA\101BGA.mp4,,4 min 54 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,563 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\Number Slime\ĐÃ UP\23BFA\23BFA.mp4,File không tồn tại,,,,,,,,,,,,,,,,
I:\SEO 2\SEO - TRACTOR 1\ĐÃ UP\V273\C273C.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\A\ĐÃ UP\283BHA\283BHA.mp4,,4 min 6 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,473 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Rainbow Number\212HA\212HA.mp4,,3 min 45 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,432 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\Number Slime\ĐÃ UP\77FGA\77FGA.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Number 1.0\B\Đã up\174BFD\V174BFD.mp4,,4 min 59 s,16.1 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,573 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\Number Slime\ĐÃ UP\176LGA\176LGA.mp4,File không tồn tại,,,,,,,,,,,,,,,,
H:\Number\Rainbow Number\117FD\V117FD.mp4,,5 min 42 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,655 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number A 2.0\391BGA\391BGA.mp4,,4 min 7 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,472 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
H:\Number\Number 1.0\A\ĐÃ UP\317BKC\317BKC.mp4,,4 min 5 s,16.0 Mb/s,60,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,04:02:00,1.778,469 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2
